Wall time,Step,Value
1643649640.8499403,50000,-33.29571533203125
1643649811.2165256,100000,-30.2639102935791
1643649977.1376734,150000,-28.60774040222168
1643650141.9501626,200000,-27.78241729736328
1643650303.2940397,250000,-23.595428466796875
1643650461.992257,300000,-23.528038024902344
1643650624.9067364,350000,-23.233800888061523
1643650778.9997013,400000,-24.001728057861328
1643650943.5982397,450000,-21.73832893371582
1643651108.0182862,500000,-21.769777297973633
1643651271.4650311,550000,-21.62166976928711
1643651434.8775604,600000,-23.469799041748047
1643651595.8096192,650000,-20.796659469604492
1643651767.1891766,700000,-22.533077239990234
1643651940.394276,750000,-21.88327407836914
1643652102.8221645,800000,-19.85136604309082
1643652274.5921142,850000,-21.65394401550293
1643652445.9741359,900000,-20.500934600830078
1643652619.1939795,950000,-20.14839744567871
1643652788.2391026,1000000,-19.677978515625
1643652966.1257398,1050000,-19.34473419189453
1643653138.0365622,1100000,-21.491130828857422
1643653307.78752,1150000,-23.557762145996094
1643653479.8365996,1200000,-21.054983139038086
1643653648.1716158,1250000,-21.038890838623047
1643653819.329577,1300000,-19.826745986938477
1643653986.5881357,1350000,-21.43808364868164
1643654153.9447026,1400000,-20.00840950012207
1643654326.372643,1450000,-21.731281280517578
1643654492.8781512,1500000,-17.815519332885742
1643654655.5347342,1550000,-16.94456672668457
1643654822.460715,1600000,-18.582761764526367
1643654993.014541,1650000,-16.593111038208008
1643655174.1062489,1700000,-20.48312759399414
1643655339.4091456,1750000,-12.270906448364258
1643655506.5080163,1800000,-13.077113151550293
1643655676.4695694,1850000,-15.130936622619629
1643655835.2349,1900000,-19.99041748046875
1643656013.4480665,1950000,-20.463899612426758
1643656190.2173913,2000000,-19.46355628967285
1643656367.502528,2050000,-21.750646591186523
1643656547.0133564,2100000,-21.910322189331055
1643656719.1538649,2150000,-22.270368576049805
1643656889.340301,2200000,-21.80674934387207
1643657059.7493536,2250000,-22.45897674560547
1643657225.8704197,2300000,-25.639272689819336
1643657395.3456047,2350000,-22.654193878173828
1643657569.4434264,2400000,-20.421655654907227
1643657750.201349,2450000,-23.925838470458984
1643657917.7624075,2500000,-27.159849166870117
1643658094.9100645,2550000,-24.429054260253906
1643658267.623883,2600000,-24.188440322875977
1643658431.5944693,2650000,-26.894378662109375
1643658601.490239,2700000,-24.831863403320312
1643658771.4995415,2750000,-21.276594161987305
1643658943.9148364,2800000,-22.813037872314453
1643659109.8606646,2850000,-24.332107543945312
1643659284.1695,2900000,-19.945301055908203
1643659449.342089,2950000,-17.219636917114258
1643659621.3734367,3000000,-19.142118453979492
1643659794.6078143,3050000,-18.07195472717285
1643659968.0776796,3100000,-19.491714477539062
1643660138.7314048,3150000,-22.009672164916992
1643660319.3070772,3200000,-18.585418701171875
1643660498.9864202,3250000,-16.924007415771484
1643660679.3913603,3300000,-21.060277938842773
1643660857.5473363,3350000,-25.003860473632812
1643661020.476067,3400000,-19.99898338317871
1643661188.6120033,3450000,-21.010841369628906
1643661362.737067,3500000,-22.068283081054688
1643661537.5218363,3550000,-23.2637939453125
1643661712.9454775,3600000,-23.155685424804688
1643661878.518126,3650000,-26.59308433532715
1643662050.257383,3700000,-22.48508071899414
1643662210.8344266,3750000,-23.379867553710938
1643662378.9529414,3800000,-24.563980102539062
1643662544.9942188,3850000,-22.152158737182617
1643662713.8674054,3900000,-23.37679100036621
1643662883.9175746,3950000,-20.44093894958496
1643663049.5525727,4000000,-21.48558807373047
1643663219.4942508,4050000,-23.84694480895996
1643663391.9817767,4100000,-21.67943572998047
1643663548.8618681,4150000,-24.471906661987305
1643663717.5397327,4200000,-23.730819702148438
1643663883.6131492,4250000,-21.12941551208496
1643664048.3531115,4300000,-25.772724151611328
1643664212.516171,4350000,-27.690034866333008
1643664382.304386,4400000,-25.491321563720703
1643664550.616842,4450000,-20.46601676940918
1643664713.4333875,4500000,-24.373680114746094
1643664872.707874,4550000,-30.11890983581543
1643665039.1104307,4600000,-24.198728561401367
1643665209.4344683,4650000,-22.549386978149414
1643665378.385891,4700000,-22.8660888671875
1643665549.6513515,4750000,-21.892276763916016
1643665714.4012835,4800000,-23.95099449157715
1643665880.5394733,4850000,-22.80606460571289
1643666043.7402036,4900000,-24.21369743347168
1643666211.3146966,4950000,-21.53810691833496
1643666378.2135608,5000000,-19.96994972229004
1643666543.1459382,5050000,-24.879371643066406
1643666706.3893383,5100000,-25.840261459350586
